SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 19/09/2025 HORA: 10:06:27;
PERÍODO DE: 01/01/2025 A 31/01/2025;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
1;ATIVO;162803047,53;81175582,06;-80590506,56;163388123,03;
1.01;ATIVO CIRCULANTE;118891826,58;68610978,26;-68265574,97;119237229,87;
1.01.01;CAIXA E EQUIVALENTES DE CAIXA;727891,47;54348802,20;-52700758,43;2375935,24;
1.01.01.01;CAIXA E EQUIVALENTES DE CAIXA;11602,04;184820,43;-173474,96;22947,51;
129;CAIXA FILIAL (BRASILIA);94,17;30975,99;-30703,18;366,98;
910046;CAIXA FILIAL (CRISTALINA);882,74;20184,73;-20744,70;322,77;
906982;CAIXA FILIAL (FORMOSA);423,29;82600,26;-77990,35;5033,20;
86;CAIXA MATRIZ (UNAI);10201,84;51059,45;-44036,73;17224,56;
1.01.01.02;BANCOS;335552,83;35680205,48;-35997554,71;18203,60;
902735;BANCO BRADESCO C/C 37277-3 - BSB;1069,65;0,03;-171,70;897,98;
902725;BANCO BRADESCO S/A 7777-1;1846,25;259899,22;-260444,86;1300,61;
902728;BANCO BRADESCO S/A C/C 13171-7 (FUNDO);242157,50;2355985,59;-2598143,09;0;
1522;BANCO DO BRASIL S/A 4699-X;0;32673323,71;-32673323,71;0;
902724;BANCO ITAU S/A AG: 1505 C/C 10666-4;1,00;197,40;-197,40;1,00;
905393;BANCO SANTANDER CONTA 13 002899-2;0;516,00;-516,00;0;
909323;CAIXA ECONOMICA FEDERAL C/C 00000075-6;8246,07;142000,00;-141887,26;8358,81;
902732;SICOOB CREDIUNAI;82232,36;248283,53;-322870,69;7645,20;
1.01.01.04;APLICACOES FINANCEIRAS;380736,60;10145532,08;-8191484,55;2334784,13;
902745;APLICACOES BANCO BRADESCO S/A 7777-1 - UNAÍ;0;4748,20;-4748,20;0;
911836;APLICACOES BANCO BRASIL RENDE FACIL;145255,44;8372134,09;-7007609,77;1509779,76;
911157;APLICACOES BANCO ITAU;204,35;0,03;-197,40;6,98;
905396;APLICACOES BANCO SANTANDER CONTAMAX;2,84;335,01;-16,00;321,85;
902743;APLICACOES BANCO SICOOB;100,00;0,95;-100,95;0;
902744;APLICACOES BCO BRADESCO S/A 37277-3 - BSB;0;169850,84;-169850,84;0;
905374;APLICACOES FUNDO CAPITALIZACAO REDE;235173,97;1598462,96;-1008961,39;824675,54;
1.01.01.05;BAIXAS FINANCEIRAS ENTRE FILIAIS;0;8338244,21;-8338244,21;0;
903264;TRANSFERENCIA DE NUMERARIOS;0;8338244,21;-8338244,21;0;
1.01.02;CREDITOS - EXCLUIR;36876993,34;6172265,53;-7179813,97;35869444,90;
1.01.02.01;CLIENTES;36789461,53;5901514,12;-6902834,48;35788141,17;
1.01.02.02;CREDITOS;87531,81;270426,41;-276654,49;81303,73;
903091;(-) CHEQUES A COMPENSAR;-855652,47;235637,87;0;-620014,60;
904857;CHEQUES A RECEBER;855652,47;0;-235637,87;620014,60;
904647;DEVOLUCOES DE COMPRAS;87531,81;34788,54;-41016,62;81303,73;
1.01.02.06;ADIANTAMENTOS;0;325,00;-325,00;0;
1.01.02.06.04;ADIANTAMENTOS INSS;0;325,00;-325,00;0;
902782;SALARIO FAMILIA;0;325,00;-325,00;0;
1.01.03;ESTOQUES;79172334,01;7578564,72;-7839257,11;78911641,62;
1.01.03.01;ESTOQUES MASSEY;58094137,63;6985303,38;-7260717,30;57818723,71;
905208;COLHEITADEIRAS;10362284,16;0;0;10362284,16;
909493;LUBRIFICANTES AGCO;460960,89;242681,89;-216646,29;486996,49;
905223;MASSEY SHOP;94597,49;2114,74;-10275,22;86437,01;
905210;PEÇAS;8854370,33;892168,10;-1486403,54;8260134,89;
905234;PLANTADEIRAS;13402306,06;0;0;13402306,06;
913935;PLATAFORMAS;2928642,21;0;0;2928642,21;
905209;PULVERIZADORES;7349605,64;2228819,80;-2228819,80;7349605,64;
905207;TRATORES NOVOS;14641370,85;3619518,85;-3318572,45;14942317,25;
1.01.03.02;ESTOQUE DE USADOS;14639407,00;160000,00;0;14799407,00;
905213;MAQUINAS;14639407,00;160000,00;0;14799407,00;
1.01.03.03;ESTOQUE OUTRAS MARCAS;6388289,40;433261,34;-578539,81;6243010,93;
905212;IMPLEMENTOS;3091107,11;158810,56;-113725,44;3136192,23;
905216;LUBRIFICANTES;190435,79;28026,11;-39392,02;179069,88;
905211;PEÇAS;2922322,97;246424,67;-411822,35;2756925,29;
905219;PNEUS;184423,53;0;-13600,00;170823,53;
1.01.03.04;OUTROS ESTOQUES;50499,98;0;0;50499,98;
902793;COMPRAS DE ESTOQUE PARA RECEBIMENTO FUTURA;50499,98;0;0;50499,98;
1.01.04;ADIANTAMENTOS;456771,22;86922,26;-96321,89;447371,59;
1.01.04.01;ADIANTAMENTOS;456771,22;86922,26;-96321,89;447371,59;
902047;ADIANTAMENTO DE FORNECEDORES;444891,42;86149,79;-95184,60;435856,61;
902778;ADIANTAMENTO DE SALARIO;11879,80;772,47;-1137,29;11514,98;
